Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m).5,station,uni
2700.77,392544.00,392977.15,259.50,3026.58,Dome C (393-664 kyr BP),LGGE Grenoble
2702.97,393579.00,394003.69,273.60,3030.97,Dome C (393-664 kyr BP),LGGE Grenoble
2705.17,394560.00,394906.10,260.70,3036.44,Dome C (393-664 kyr BP),LGGE Grenoble
2713.97,398086.00,398275.13,276.30,3040.87,Dome C (393-664 kyr BP),LGGE Grenoble
2718.37,399722.00,399926.16,277.10,3043.07,Dome C (393-664 kyr BP),LGGE Grenoble
2720.57,400504.00,400710.08,283.20,3055.18,Dome C (393-664 kyr BP),LGGE Grenoble
2724.97,402000.00,402140.92,283.10,3056.25,Dome C (393-664 kyr BP),LGGE Grenoble
2727.17,402731.00,402859.84,275.70,3057.36,Dome C (393-664 kyr BP),LGGE Grenoble
2731.57,404181.00,404313.30,276.50,3058.47,Dome C (393-664 kyr BP),LGGE Grenoble
2733.77,404927.00,405062.63,280.50,3059.55,Dome C (393-664 kyr BP),LGGE Grenoble
2738.17,406368.00,406542.80,279.60,3060.33,Dome C (393-664 kyr BP),LGGE Grenoble
2740.37,407093.00,407282.50,285.60,3060.73,Dome C (393-664 kyr BP),LGGE Grenoble
2744.77,408600.00,408818.72,284.50,3061.36,Dome C (393-664 kyr BP),LGGE Grenoble
2746.97,409383.00,409598.24,275.20,3061.82,Dome C (393-664 kyr BP),LGGE Grenoble
2746.97,409383.00,409598.24,274.20,3062.53,Dome C (393-664 kyr BP),LGGE Grenoble
2749.17,410206.00,410453.80,282.60,3062.93,Dome C (393-664 kyr BP),LGGE Grenoble
2751.37,411071.00,411347.97,283.50,3063.64,Dome C (393-664 kyr BP),LGGE Grenoble
2755.77,412962.00,413258.65,274.90,3064.02,Dome C (393-664 kyr BP),LGGE Grenoble
2757.97,413948.00,414210.86,264.90,3064.76,Dome C (393-664 kyr BP),LGGE Grenoble
2760.17,414963.00,415179.59,271.60,3065.12,Dome C (393-664 kyr BP),LGGE Grenoble
2762.37,415955.00,416184.85,276.20,3065.76,Dome C (393-664 kyr BP),LGGE Grenoble
2764.57,416965.00,417203.68,268.50,3066.22,Dome C (393-664 kyr BP),LGGE Grenoble
2766.77,417979.00,418234.98,277.70,3066.93,Dome C (393-664 kyr BP),LGGE Grenoble
2768.97,419013.00,419318.31,273.30,3067.33,Dome C (393-664 kyr BP),LGGE Grenoble
2771.17,420107.00,420438.42,268.90,3068.07,Dome C (393-664 kyr BP),LGGE Grenoble
2775.57,422374.00,422889.84,276.60,3068.42,Dome C (393-664 kyr BP),LGGE Grenoble
2775.57,422374.00,422889.84,274.30,3069.52,Dome C (393-664 kyr BP),LGGE Grenoble
2777.77,423491.00,424204.53,270.90,3070.16,Dome C (393-664 kyr BP),LGGE Grenoble
2779.97,424604.00,425451.08,273.70,3070.62,Dome C (393-664 kyr BP),LGGE Grenoble
2782.17,425678.00,426767.04,257.70,3071.33,Dome C (393-664 kyr BP),LGGE Grenoble
2784.37,426953.00,428411.80,254.10,3071.72,Dome C (393-664 kyr BP),LGGE Grenoble
